Sold to Code;Sold to Party;Ship to Code;Ship to Party;SDG S/O No.;SDG Item No.;Mat.Code SDG;N-Code;Material Desc.SDG;Pending Qty.;Delivery Date;Order Rcv.Date;Surface
A2010267;Kalotte AG;A2010267;Kalotte AG;1000644386;10;542PTH013NR0;N17896;CRC/SLIT 1.4541 2R 0.137x690mm;7000.000;20.07.2026;30.06.2026;2R
0001030625;Rolltech A/S;A2038312;Rolltech AS;1000636575;20;542PTC010NR0;N7031C;CRC/Slit 1.4372 2R 0.104x28.1mm;5000.000;27.07.2026;02.07.2026;2R
0001030625;Rolltech A/S;A2038312;Rolltech AS;1000636575;30;542PTC010NR0;N9166;CRC/Slit 1.4372/201 2R 0.104 x 30.1mm;10000.000;27.07.2026;02.07.2026;2R
0001030625;Rolltech A/S;A2038312;Rolltech AS;1000636575;40;542PTC010NR0;N12004;CRC/Slit 1.4372 2R 0.104x27.8mm;5000.000;27.07.2026;02.07.2026;2R
0001034285;BJB GmbH & Co. KG;0001034285;BJB GmbH & Co. KG;1000644276;10;542PTP020NH0;N14141;CRC/Slit 1.4310(HT3) 2H 0.2x15mm;4000.000;17.08.2026;30.06.2026;2H
A2005241;Press Teck S.p.A.;A2067119;Pressteck Magazzino sede San Vito;1000644046;20;542PTL025NR0;N17528;CRC/SLIT 1.4404 2R 0.25X83MM;6000.000;24.08.2026;02.07.2026;2R
A2062713;Pro-Cars Group sp. z o.o.;A2062713;Pro-Cars Group sp. z o.o.;1000643795;130;542PTY010NR0;N17240;CRC/SLIT 1.4301 2R 0.1X280MM;1000.000;31.08.2026;29.06.2026;2R
A2062713;Pro-Cars Group sp. z o.o.;A2062713;Pro-Cars Group sp. z o.o.;1000643795;150;542PTY010NR0;N17183;CRC/SLIT 1.4301 2R 0.1X330MM;1000.000;31.08.2026;29.06.2026;2R
A2062713;Pro-Cars Group sp. z o.o.;A2062713;Pro-Cars Group sp. z o.o.;1000643795;10;542PTY015NR0;N16757;CRC/SLIT 1.4301 2R 0.15X520MM;30000.000;31.08.2026;26.06.2026;2R
A2062713;Pro-Cars Group sp. z o.o.;A2062713;Pro-Cars Group sp. z o.o.;1000643795;30;542PTY025NR0;N17212;CRC/Slit 1.4301 2R 0.25x300mm;2000.000;31.08.2026;26.06.2026;2R
A2062713;Pro-Cars Group sp. z o.o.;A2062713;Pro-Cars Group sp. z o.o.;1000643795;50;542PTY025NR0;N17213;CRC/Slit 1.4301 2R 0.25x320mm;2000.000;31.08.2026;26.06.2026;2R
A2062713;Pro-Cars Group sp. z o.o.;A2062713;Pro-Cars Group sp. z o.o.;1000643795;70;542PTY025NR0;N17007;CRC/Slit 1.4301 2R 0.25x440mm;6000.000;31.08.2026;26.06.2026;2R
A2062713;Pro-Cars Group sp. z o.o.;A2062713;Pro-Cars Group sp. z o.o.;1000643795;90;542PTY025NR0;N17008;CRC/Slit 1.4301 2R 0.25x500mm;10000.000;31.08.2026;26.06.2026;2R
A2062713;Pro-Cars Group sp. z o.o.;A2062713;Pro-Cars Group sp. z o.o.;1000643795;110;542PTY025NR0;N17214;CRC/SLIT 1.4301 2R 0.25X635MM;2000.000;31.08.2026;26.06.2026;2R
A2068822;BDL Steel Srl;A2053978;VISCONTI SRL;1000644592;10;542PTY100NR0;N17876;CRC/SLIT 1.4301 2R 1.04X100MM;4000.000;31.08.2026;01.07.2026;2R
A2005241;Press Teck S.p.A.;A2067119;Pressteck Magazzino sede San Vito;1000644610;20;542PTL040NR0;N17895;CRC/SLIT 1.4404 2R 0.40X40MM;2000.000;07.09.2026;01.07.2026;2R
A2056540;EGON NESPER GMBH & CO. KG;A2056540;EGON NESPER GMBH & CO. KG;1000644522;10;542PTY080NR0;N15934;CRC/SLIT 1.4301 2R 0.8X22MM;2000.000;26.10.2026;01.07.2026;2R
;;;;;;;;;99000.000;;;
